T1S-FQ,T1S-FA,T1S-FA_LLM,T1S-FA_LLM_R,T1S-FA_CIMBUR,T1S-FA_CIMBUR_R,T1S-FA_CFG,T1S-FA_CFG_R,T1S-FA_Query,T1S-FA_Query_R,T1S-FA_MT,T1S-FA_MT_R,T1S-FA_COVE,T1S-FA_COVE_R,T1S-FA][26,T1S-FA_COVE_MT,T1S-FA_COVE_MT_R
What Elasticsearch Version is used in issue 100264?,8.*,The Elasticsearch Version used in issue 100264 is 8.*,1,Elasticsearch version mentioned in issue 100264 is 8.*.,1,Elasticsearch Version used in issue 100264 is 8.*,1,8.*,1,The Elasticsearch Version being used in issue 100264 is 8.*.,1,The Elasticsearch Version used in issue 100264 is not specifically version 8.*.,1.0,CircuitBreakingException,The Elasticsearch Version being used in issue 100264 is 8.*.,1
which java version used in issue 97350?,bundled,"The Java version used in issue 97350 is ""bundled"".",1,"The Java version specified in issue 97350 is ""bundled"".",1,"The Java version used in issue 97350 is ""bundled"".",1,"The Java version specified in issue 97350 is ""_bundled_"".",0,"The Java version used in issue 97350 is ""bundled"".",1,The Java version used in issue 97350 is the one that comes bundled with the software.,1.0,CircuitBreakingException,"The Java version used in issue 97350 is ""bundled"".",1
which os version used in issue 96078?,docker.elastic.co/elasticsearch/elasticsearch:8.7.1,docker.elastic.co/elasticsearch/elasticsearch:8.7.1,1,"The operating system version specified in issue 96078 is ""docker.elastic.co/elasticsearch/elasticsearch:8.7.1"".",1,docker.elastic.co/elasticsearch/elasticsearch:8.7.1,1,docker.elastic.co/elasticsearch/elasticsearch:8.7.1,1,docker.elastic.co/elasticsearch/elasticsearch:8.7.1,1,docker.elastic.co/elasticsearch/elasticsearch:8.7.1,1.0,CircuitBreakingException,"The operating system version utilized in issue 96078 is ""docker.elastic.co/elasticsearch/elasticsearch:8.7.1"".",1
what is the exception in issue 104278,The exception in issue 104278 is org.elasticsearch.action.search.SearchPhaseExecutionException,"The exception in issue 104278 is: When a task in Elasticsearch fails to complete, the following log exception is thrown in the logs: [instance-0000000001] 38793108 failed with exception org.elasticsearch.action.search.SearchPhaseExecutionException: all shards failed.",1,"The exception mentioned in issue 104278 is ""org.elasticsearch.action.search.SearchPhaseExecutionException: all shards failed"".",1,"The exception in issue 104278 is ""org.elasticsearch.action.search.SearchPhaseExecutionException: all shards failed"".",1,The exception details in issue 104278 are related to a reindex task failure log not helping to understand the type of task action.,0,"The exception in issue 104278 is: ""Reindex task failure log does not help understand the type of task action"".",0,"The exception in issue 104278 indicates that when a task in Elasticsearch fails to complete, the log exception ""org.elasticsearch.action.search.SearchPhaseExecutionException: all shards failed"" is thrown in the logs.",1.0,CircuitBreakingException,"The exception that pertains to issue 104278 is: When a task in Elasticsearch fails to complete, the following log exception is thrown in the logs: [instance-0000000001] 38793108 failed with exception org.elasticsearch.action.search.SearchPhaseExecutionException: all shards failed.",1
What exception occured in the issue 104931,java.lang.RuntimeException,Tighten up exception handling around markItemAsDropped/markItemAsFailed,0,The exception that occurred in issue 104931 is a java.lang.RuntimeException that occurred in the IngestMetric class at line 69 during the postIngest method.,1,"java.lang.RuntimeException: null
at org.elasticsearch.ingest.IngestMetric.postIngest(IngestMetric.java:69) ~[elasticsearch-8.7.1.jar:?]
at java.lang.Thread.run(Thread.java:1623) ~[?:?]",0,"The exception that occurred in issue 104931 is titled ""Tighten up exception handling around markItemAsDropped/markItemAsFailed"". It is currently open with 1 comment, created on 2024-01-30 by joegallo. The labels associated with this issue are '>bug, :Data Management/Ingest Node, Team:Data Management'. The body of the issue describes issues with serialization of `IngestStats` and negative stats counts.",0,"The exception that occurred in issue 104931 was: ""There's been a lot of issues with serialization of `IngestStats`, and having the stats themselves sometimes go negative (due to a bad code path double decrementing the 'ingestCurrent' count of the `IngestStats.Stats`). See https://github.com/elastic/elasticsearch/issues/52339...""",0,"The exception that occurred in issue 104931 is ""Tighten up exception handling around markItemAsDropped/markItemAsFailed"".",0.0,CircuitBreakingException,"The exception that occurred in issue 104931 was ""Tighten up exception handling around markItemAsDropped/markItemAsFailed"".",0
which team is reponsible for issue 104160,The team responsible for issue 104160 is team:ml or ML team,The team responsible for issue 104160 is not specified in the database.,0,"The team responsible for issue 104160 is the ML team, with no specific assignee and labels indicating it is related to ML.",1,The team responsible for issue 104160 is not specified in the database.,0,Team responsible for issue 104160 is Team:ML.,1,The team accountable for issue 104160 is not specified in the database.,0,The team responsible for issue 104160 is not specified in the database.,0.0,CircuitBreakingException,The team responsible for issue 104160 is not specified in the database.,0
what is the workaround of issue 98652,Workaround would be to update the version to a positive value for all affected composable index templates.,"The workaround for issue 98652 is described in the body of the issue as follows:
""### Elasticsearch Version

8.9.1 

Note: problem was observed also in version 8.7.0. It is likely that older versions are affected by this problem.

### Installed Plugins

_No response_

### Java Version

_bundled_

### OS Version

N.A

### Problem Description

Users may...""",0,"The workaround provided for issue 98652 is related to the problem where the node is unable to join the cluster due to a negative `version` in the composable index template. The workaround includes information about the Elasticsearch Version, Installed Plugins, Java Version, OS Version, and a detailed description of the problem.",0,"The workaround for issue 98652 involves checking the Elasticsearch Version, Installed Plugins, Java Version, OS Version, and Problem Description in the body of the issue.",0,The workaround provided for issue 98652 is as follows: Users may need to manually delete the composable index template with the negative `version` field in order for the node to successfully join the cluster.,0,"The workaround for issue 98652 is: To resolve issue 98652, the problem description states that ""Node is unable to join the cluster due to negative `version` in composable index template"".",0,The workaround for issue 98652 is: Users may need to upgrade to Elasticsearch Version 8.9.1.,0.0,CircuitBreakingException,"The workaround for issue 98652 is to update the Elasticsearch version to at least 8.9.1. The problem was observed in version 8.7.0 as well, so it is likely that older versions are affected by this problem.",0
what is the applicable branches for issue 95917?,eyalkoren:ingest-pipeline-registry,"The applicable branches for issue 95917 are '>bug, >test-failure, :EnterpriseSearch/Application, Team:Enterprise Search'.",0,"The applicable branches for issue 95917 are '>bug', '>test-failure', and ':EnterpriseSearch/Application Team:Enterprise Search'.",0,"The applicable branches for issue 95917 are '>bug', '>test-failure', and ':EnterpriseSearch/Application Team:Enterprise Search'.",0,"Based on the provided information, the applicable branches for issue 95917 are '>bug', '>test-failure', ':EnterpriseSearch/Application', and 'Team:Enterprise Search'.",0,"The applicable branches for issue 95917 are '>bug', '>test-failure', ':EnterpriseSearch/Application', and 'Team:Enterprise Search'.",0,The applicable branches for issue 95917 are ':EnterpriseSearch/Application' and 'Team:Enterprise Search'.,0.0,CircuitBreakingException,"Branches applicable to issue 95917 are '>bug', '>test-failure', ':EnterpriseSearch/Application', and 'Team:Enterprise Search'.",0
what  error is mentioned in 103414?,java.util.concurrent.TimeoutException,"The error mentioned in issue number 103414 is related to ""Gracefully stopping a deployment times out while closing the pytorch process"".",0,The error mentioned in issue 103414 is a java.util.concurrent.TimeoutException.,1,java.util.concurrent.TimeoutException,1,The error mentioned in issue 103414 is related to gracefully stopping a deployment timing out while closing the PyTorch process.,0,The error mentioned in issue number 103414 is related to gracefully stopping a deployment timing out while closing the PyTorch process.,0,The error mentioned in issue number 103414 is not related to changing the size of ML nodes in a cloud deployment.,0.0,CircuitBreakingException,"The error referenced in 103414 is related to ""Gracefully stopping a deployment times out while closing the PyTorch process"".",0
What triggered the exception in issue 100130?,java.lang.IllegalArgumentException,The exception in issue 100130 was triggered by an index with a `float` or `half_float` type.,0,"The cause of the exception in issue 100130 is related to comparing float/half_float to a number that fails if out of range. The issue involves Elasticsearch Version, Installed Plugins, Java Version, and OS Version. The exception is related to a QueryShardException that failed to create a query due to receiving a value of -Infinity for a float type, which only supports finite values. The issue is labeled as a bug in the Analytics team for Elasticsearch/SQL.",0,"The exception in issue 100130 was triggered by a QueryShardException with the message ""failed to create query: [float] supports only finite values, but got [-Infinity]"".",0,The cause of the exception in issue 100130 is related to an index with a `float` or `half_float` type.,0,The exception in issue 100130 was triggered by an issue with the data types `float` or `half_float` in an index.,0,The exception in issue 100130 was triggered by an index with a `float` or `half_float` type.,0.0,CircuitBreakingException,The exception in issue 100130 was triggered by an index with a `float` or `half_float` type.,0
